Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	N	Ndf	Ncases	Ncontrols
L.LDL.TG	0.0191014485163928	0.00950993428264933	2.00857839272801	0.0445818646964091	-0.0371983928064193	0.201888541461229	-0.184252125143828	0.853815669442287	0.0954541750152167	0.101542917132083	0.940037746710133	0.347198199125532	0.0377845053987511	0.0255545093520608	1.47858465518548	0.139251356348403	0.535971025765153	0.126314635582926	4.24314271494917	2.20411165450881e-05	0.692571168978621	0.421640006335606	1.64256512326149	0.100472941752601	-0.0584180212946105	0.243012527143843	-0.240390987169282	0.810027164586735	560	552	151	409
Cit	0.023813939972877	0.0100037612440693	2.38049863365091	0.0172892251557705	-0.000862920933932232	0.19791754192944	-0.00436000227933245	0.996521232517933	-0.10105917708019	0.109164761221873	-0.92574907826521	0.354576396060885	0.040010201965062	0.0254129204188463	1.57440393727398	0.115394094166774	0.528306342361199	0.127302327070867	4.15001323634169	3.32456049088502e-05	0.704067318087449	0.422319304823341	1.66714452795845	0.0954856698506794	-0.0472255593449705	0.243557027613335	-0.193899391069695	0.846254660506514	561	553	151	410
Ace	0.0205224009769915	0.00937870625991478	2.1881910370416	0.0286556897168876	-0.0134791008631632	0.198021310972652	-0.0680689406456091	0.945730754766426	0.0890926605206708	0.0968044682968711	0.920336241581841	0.357397075768123	0.0426862074548987	0.0254583489450656	1.67670761159758	0.0935996714645032	0.541378583206552	0.126121895835932	4.29250273807187	1.76670371193696e-05	0.663271775002198	0.422470432740827	1.56998389378197	0.116418858356473	-0.0397353917455771	0.243343519549415	-0.163289294981649	0.870290662148762	561	553	151	410
XS.VLDL.P	0.0193052560685007	0.00948605951076186	2.03511859129694	0.0418389417593694	-0.0339065045267401	0.201420368774328	-0.168337019404076	0.866318152113293	0.0925026534428956	0.100784416733205	0.917826946280464	0.358709472557548	0.0386958415645307	0.0255026865235745	1.51732412696053	0.12918486960622	0.541464853970915	0.126034627056159	4.29615944933645	1.73782605324948e-05	0.705500847080526	0.422357206080819	1.67038903781726	0.0948424171079351	-0.0620312214302326	0.242805186436665	-0.255477332838659	0.798354448645763	560	552	151	409
Glol	0.0191325187442129	0.00945091399480155	2.02440935921507	0.0429280495709187	-0.0606952961391382	0.205636222835295	-0.295158582968879	0.767872739250367	0.0968755275076139	0.106048143157011	0.913505174382767	0.36097691344746	0.0344604657001914	0.0262832226792442	1.31112025799655	0.189817137591549	0.54914559347764	0.126123542484288	4.35402925307186	1.33657859432375e-05	0.664932247927476	0.421997753727685	1.57567722115544	0.11510020964417	-0.0795277702766908	0.244024615012255	-0.325900607496899	0.744499556054143	560	552	151	409
XS.VLDL.L	0.0192770232720201	0.00949421849530207	2.03039600168869	0.0423163027596666	-0.0351104234909467	0.201783896216139	-0.174000126617332	0.861865362722384	0.0912897618223808	0.101462588548075	0.899738151063685	0.368259615392216	0.0391649168081865	0.0254705668924051	1.53765391141981	0.124133258216716	0.541694058863134	0.126020174128201	4.29847095999141	1.71980428650671e-05	0.70524475691073	0.422411127740717	1.669569551074	0.0950045589461836	-0.0630417051990585	0.242784100649344	-0.259661588343095	0.795124824571896	560	552	151	409
XS.VLDL.C	0.0194640469025817	0.00949775978658171	2.04933029892799	0.040429827821906	-0.0479990452466418	0.203729053409533	-0.235602357363114	0.813741244039672	0.0914189692857597	0.102290148176117	0.893722131757597	0.371470580904246	0.0407915044450748	0.0254281966293321	1.60418393170755	0.108673515499433	0.543760359264564	0.126125137782086	4.31127663229238	1.62314687176458e-05	0.711200112968569	0.423100988637741	1.6809228341877	0.0927779040573266	-0.0601267630006792	0.242685446958425	-0.24775594809762	0.804323240707093	561	553	151	410
HDL.C	0.019965797463483	0.00935727165364787	2.13371997762825	0.0328657097369196	0.0577977322900301	0.210134127858933	0.275051620024476	0.783276580068292	-0.0964530544237281	0.108948978189532	-0.885304809889399	0.37599225650558	0.0352752341168244	0.0261663563083325	1.34811410886396	0.17762168422322	0.550631813156757	0.126275687639973	4.36055287797502	1.29734224959065e-05	0.683975552042566	0.421060398959019	1.62441196971634	0.104287914161332	-0.0465994017335639	0.243221364854393	-0.191592550931786	0.848061377913838	561	553	151	410
LDL.TG	0.0192665272468126	0.00949232183713413	2.02969595609808	0.0423874542190188	-0.0327383423944005	0.2014023900308	-0.162551906108929	0.870871256579947	0.0893287166793306	0.101477669413354	0.880279545201845	0.37870789073332	0.0377069813115399	0.0255878004542293	1.4736312087078	0.14058091378398	0.536933390903453	0.126261898451489	4.25253696870198	2.1136231044536e-05	0.692939665398815	0.421628697290973	1.64348316386208	0.100283005945876	-0.0581387688298337	0.242962156072166	-0.239291459088654	0.810879587723419	560	552	151	409
PUFA.FA	0.0203291643474624	0.00939028920789436	2.16491355030597	0.0303943063116757	-0.0472908338823943	0.199926249321448	-0.236541394853852	0.813012589999306	0.0897582595689017	0.104769433417418	0.856721818961174	0.391598641933392	0.0422311841363218	0.0268305487815812	1.57399628610329	0.11548830804488	0.537824381359608	0.126937966837405	4.23690716622639	2.26619777437617e-05	0.703776069048647	0.422028161555937	1.66760451827186	0.0953942607361937	-0.0572695146868815	0.243065912493877	-0.235613106335196	0.813732902371012	557	549	149	408
